,node
0,2001 10
1,2001 8
2,2001 9
7,A '00
8,A '01
9,A 100
10,A 101
11,A 102
12,A 103
13,A 104
14,A 105
15,A 106
16,A 107
17,A 108
18,A 109
19,A 10
20,A 110
21,A 111
22,A 112
23,A 113
24,A 114
25,A 115
26,A 116
27,A 117
28,A 118
29,A 119
30,A 11
31,A 120
32,A 121
33,A 122
34,A 123
35,A 124
36,A 125
37,A 126
38,A 127
39,A 128
40,A 129
41,A 12
42,A 130
43,A 131
44,A 132
45,A 133
46,A 134
47,A 135
48,A 137
49,A 138
50,A 139
51,A 13
52,A 140
53,A 141
54,A 142
55,A 143
56,A 144
57,A 145
58,A 146
59,A 147
60,A 148
61,A 149
62,A 14
63,A 150
64,A 151
65,A 152
66,A 153
67,A 154
68,A 155
69,A 156
70,A 157
71,A 158
72,A 159
73,A 1.5
74,A 15
75,A 160
76,A 161
77,A 162
78,A 163
79,A 164
80,A 165
81,A 166
82,A 167
83,A 168
84,A 169
85,A 16
86,A 170
87,A 171
88,A 17/2
89,A 172
90,A 173
91,A 174
92,A 175
93,A 176
94,A 177
95,A 178
96,A 179
97,A 17
98,A 180
99,A 181
100,A 18/2
101,A 182
102,A 18/3
103,A 183
104,A 18/4
105,A 184
106,A 185
107,A 186
108,A 187
109,A 188
110,A 189
111,A 18
112,A 190
113,A 191
114,A 192
115,A 19/3
116,A 193
117,A 19/4
118,A 194
119,A 19/5
120,A 195
121,A 196
122,A 197
123,A 198
124,A 199
125,A 19
126,A 1
127,A 200
128,A 201/2
129,A 201
130,A 20/2
131,A 202
132,A 20/3
133,A 203
134,A 20/4
135,A 204
136,A 205
137,A 206
138,A 207
139,A 208
140,A 209
141,A 20
142,A 210
143,A2 10
144,A 211
145,A2 11
146,A 21/2
147,A 212
148,A2 12
149,A 21/3
150,A 213
151,A 21/4
152,A 214
153,A 215
154,A 216
155,A 217
156,A 218
157,A 219
158,A 21
159,A2 1
160,A 220
161,A 221
162,A 222
163,A 223
164,A 224
165,A 225
166,A 226
167,A 227
168,A 228
169,A 229
170,A 22
171,A2 2
172,A 230
173,A 231
174,A 23/2
175,A 232
176,A 233
177,A 234
178,A 235
179,A 236
180,A 237
181,A 238
182,A 239
183,A 23
184,A2 3
185,A 240
186,A 241
187,A 242
188,A 243
189,A 244
190,A 245
191,A 246
192,A 247
193,A 248
194,A 249
195,A 24
196,A2 4
197,A 250
198,A 251
199,A 252
200,A 253
201,A 254
202,A 255
203,A 256
204,A 257
205,A 258
206,A 259
207,A 25
208,A2 5
209,A 260
210,A 261
211,A 262
212,A 263
213,A 264
214,A 265
215,A 266
216,A 267
217,A 268
218,A 269
219,A 26
220,A2 6
221,A 270
222,A 271
223,A 272
224,A 273
225,A 274
226,A 275
227,A 276
228,A 277
229,A 278
230,A 279
231,A 27
232,A2 7
233,A 280
234,A 281
235,A 282
236,A 283
237,A 284
238,A 285
239,A 286
240,A 287
241,A 288
242,A 289
243,A 28
244,A2 8
245,A 290
246,A 291
247,A 292
248,A 293
249,A 294
250,A 295
251,A 296
252,A 297
253,A 298
254,A 299
255,A 29
256,A2 9
257,A 2
258,A 300/2
259,A 300
260,A 301
261,A 302
262,A 303
263,A 304
264,A 305
265,A 306
266,A 307
267,A 308
268,A 309
269,A 30
270,A 310
271,A3 10
272,A 311
273,A3 11
274,A 312
275,A3 12
276,A 313
277,A3 13
278,A 314
279,A3 14
280,A 315
281,A3 15
282,A 316
283,A3 16
284,A 317
285,A3 17
286,A 318
287,A3 18
288,A 319/2
289,A 319
290,A3 19
291,A 31
292,A3 1
293,A 320/2
294,A 320
295,A3 20
296,A 321/2
297,A 321
298,A3 21
299,A 322/2
300,A 322
301,A3 22
302,A 323/2
303,A 323
304,A3 23
305,A 324/2
306,A 324
307,A3 24
308,A 325
309,A3 25
310,A 326
311,A3 26
312,A 327
313,A3 27
314,A 328
315,A3 28
316,A 329
317,A3 29
318,A 32
319,A3 2
320,A 330
321,A3 30
322,A 331
323,A3 31
324,A 332
325,A3 32
326,A 333
327,A3 33
328,A 334
329,A3 34
330,A 335
331,A3 35
332,A 336
333,A3 36
334,A 337
335,A3 37
336,A 338
337,A3 38
338,A 339
339,A3 39
340,A 33
341,A3 3
342,A 340
343,A3 40
344,A 341
345,A3 41
346,A 342
347,A3 42
348,A 343
349,A3 43
350,A 344
351,A 345
352,A 346
353,A 347
354,A 348
355,A 349
356,A 34
357,A3 4
