Consommateur	Fournisseur				
ACTIVATION (Chemical Process Research & Catalysis)   	CARLO ERBA  				
ORIL INDUSTRIE - Bolbec (76) - Plaine de Baclair    	ACETEX INTERMEDIATE                      				
MULTI-EXPORT                                                	ADL & PROCHILAB                                                  				
CURIA FRANCE SAS                                 	ARXADA France                				
DRT - Les Dérivés Résiniques & Terpéniques          	ARXADA France                				
ETABLISSEMENTS BEAUSEIGNEUR                         	ARXADA France                				
MERCK SANTE SAS                              	ARXADA France                				
MINAKEM BEUVRY PRODUCTION SAS                    	ARXADA France                				
MINAKEM DUNKERQUE PRODUCTION                       	ARXADA France                				
PIERRE FABRE MEDICAMENT                        	ARXADA France                				
SIEGFRIED SAINT VULBAS SAS	ARXADA France                				
V. MANE FILS                                        	AZELIS – ESSENTIAL CHEMICALS             				
ALL'CHEM      	AZELIS France                				
DSM nutritional product France SAS                   	AZELIS France                				
DRT - Les Dérivés Résiniques & Terpéniques          	AZELIS France                				
Finorga - Novasep                           	AZELIS France                				
Guerbet SA                                        	AZELIS France                				
HSWT France SAS                                      	AZELIS France                				
Mane & fils Ets SA                                 	AZELIS France                				
ORIL INDUSTRIE                          	AZELIS France                				
Siegfried St Vulbas SAS                      	AZELIS France                				
Steiner SAS                                     	AZELIS France                				
Synthexim S.A.S                       	AZELIS France                				
Tereos Syral S.A.S                                 	AZELIS France                				
produits chimiques auxiliaires et de synthese SAS	AZELIS France                				
ALL'CHEM                                            	AZELIS France                         				
DSM Nutritional Product France                     	AZELIS France                         				
DRT - Les Dérivés Résiniques & Terpéniques          	AZELIS France                         				
ORIL INDUSTRIE - Bolbec (76) - Plaine de Baclair    	AZELIS France                         				
PCAS                                                	AZELIS France                         				
SIEGFRIED Saint-Vulbas SAS                          	AZELIS France                         				
STEINER                                             	AZELIS France                         				
SYNTHEXIM                                           	AZELIS France                         				
TEREOS STARCH & SWEETENERS EUROPE                   	AZELIS France                         				
SHEPHERD Mirecourt SAS                              	Beauseigneur SAS       				
CORDEN PHARMA CHENOVE                                       	BRENNTAG                                             				
PCAS                                                        	BRENNTAG                                             				
PMC ISOCHEM                                         	BRENNTAG IDF                            				
Stearinerie Dubois                                  	BRENNTAG IDF                            				
ARCHROMA                                          	BRENNTAG SA                  				
ARKEMA                                	BRENNTAG SA                  				
BONTOUX                               	BRENNTAG SA                  				
CORDEN PHARMA              	BRENNTAG SA                  				
EGNO CHIMIE                 	BRENNTAG SA                  				
KERRY INGREDIENTS LTD                 	BRENNTAG SA                  				
MANE FILS SA               	BRENNTAG SA                  				
PCAS COUTERNE                                 	BRENNTAG SA                  				
PCAS MASSY                        	BRENNTAG SA                  				
PMC ISOCHEM         	BRENNTAG SA                  				
PRODASYNTH                      	BRENNTAG SA                  				
SANOFI CHIMIE             	BRENNTAG SA                  				
SEPPIC                   	BRENNTAG SA                  				
SGP3                             	BRENNTAG SA                  				
STEARINERIE DUBOIS             	BRENNTAG SA                  				
VALDEPHARM                        	BRENNTAG SA                  				
VWR INTERNATIONAL              	BRENNTAG SA                  				
ARCHROMA France SAS                                	BRENNTAG SA                                         				
BONTOUX                                            	BRENNTAG SA                                         				
EGNO Chimie                                         	BRENNTAG SA                                         				
Kerry Flavours France                               	BRENNTAG SA                                         				
PCAS                                                	BRENNTAG SA                                         				
PRODASYNTH                                          	BRENNTAG SA                                         				
SOCIETE GRASSOISE DE PARFUMERIE                     	BRENNTAG SA                                         				
V. MANE FILS                                        	BRENNTAG SA                                         				
ARKEMA FRANCE                                               	BRENNTAG SA                                                       				
SANOFI ARAMON                                       	BRENNTAG site Méditerranée                 				
ARKEMA FRANCE                                               	CARLO ERBA                                                        				
L’OREAL                                                     	CARLO ERBA                                                        				
Laboratoire VERBIESE                                        	CARLO ERBA REACTIFS                                           				
Provepharm Life Solutions                          	Carlo Erba Reagent             				
CARLO ERBA Reagents - Heudebouville                         	CARLO ERBA REAGENTS S.R.L. (IT21)                                 				
CARLO ERBA Reagents - Heudebouville                         	CARLO ERBA REAGENTS SA (IT22)                          				
DRT - Les Dérivés Résiniques & Terpéniques          	CELANESE                      				
ARKEMA FRANCE                                               	CELANESE SALES GERMANY GMBH        				
BRENNTAG SA                                         	CELANESE SALES GERMANY GMBH        				
HSWT France SAS                                     	CELANESE SALES GERMANY GMBH        				
Univar Solutions                                    	CELANESE SALES GERMANY GMBH        				
ALL'CHEM      	CENTIPHARM                   				
LABORATOIRES HUMEAU                                         	CHEM-LAB                                                          				
REVOL SAS                                                   	CHIMIE PLUS LABORATOIRES                                 				
CARLO ERBA Reagents - Heudebouville                         	CPAChem Ltd (4514602)                                  				
ADISSEO FRANCE SAS - Site de Commentry (03)         	EASTMAN Chemical BV                        				
Novacyl                                             	EASTMAN Chemical BV                        				
Roquette Frères                                     	EASTMAN Chemical BV                        				
UNIPEX SOLUTIONS France                             	EASTMAN Chemical BV                        				
ORIL INDUSTRIE - Bolbec (76) - Plaine de Baclair    	EASTMAN Chemical GMBH                  				
EUROAPI                                                     	EASTMAN CHEMICALS                                    				
SHEPHERD MIRECOURT SARL                       	ETABLISSEMENTS BEAUSEIGNEUR  				
BAYER SAS                                                   	FISHER  SCIENTIFIC SAS                                				
INSTITUT PASTEUR                                            	FISHER  SCIENTIFIC SAS                                				
LABORATOIRES HUMEAU                                         	FISHER  SCIENTIFIC SAS                                				
PolyPeptide Laboratories France SAS                         	FISHER  SCIENTIFIC SAS                                				
Roquette Frères                                             	FISHER  SCIENTIFIC SAS                                				
SORDALAB                                                    	FISHER  SCIENTIFIC SAS                                				
Université Rennes I                                         	FISHER  SCIENTIFIC SAS                                				
JEULIN                                                      	HONEYWELL                                                  				
REVOL SAS                                                   	HONEYWELL                                                  				
SONODIS                                                     	HONEYWELL                                                  				
Université d'Orléans - ICOA                                 	ICOA                                                  				
LA MESTA CHIMIE FINE                                	ILARIO ORMEZZANO SAI SPA                				
ORIL INDUSTRIE - Bolbec (76) - Plaine de Baclair    	IMCD France SAS              				
IMCD France SAS                                     	Imcd España Especialidades Químicas S.A				
ORIL INDUSTRIE                          	IMCD France SAS              				
Novacyl                                             	INEOS AROMATICS BELGIUM NV      				
WEYLCHEM                                            	INEOS AROMATICS BELGIUM NV      				
OLEON SAS                                                   	Janssen Pharmaceutica                                             				
ALL'CHEM                                            	Joprochim                               				
SAS ALL'CHEM                        	JOSEPH PRODUITS CHIMIQUES    				
AZELIS France                                                 	Jubilant Life Sciences NV belgium				
LABBOX FRANCE EURL                                          	Labbox Labware, S.L.                                            				
SONODIS                                                     	LABODIFF				
BIOTEAM CARAIBES           	LABORATOIRES HUMEAU          				
ETABLISSEMENTS BEAUSEIGNEUR                         	LONZA LTD                          				
DRT - Les Dérivés Résiniques & Terpéniques          	LUNA CHEMICALS 				
SIGMA ALDRICH CHIMIE                                	Merck KGaA                        				
JOSEPH PRODUITS CHIMIQUES                           	ORMEZZANO ILARIO                        				
Univar Solutions                                    	ORMEZZANO ILARIO                        				
SOYONS CHIMIE BIOTECHNOLOGIE                                	PANREAC                                                 				
PRODASYNTH                                          	QUIMIDROGA         				
ROBERTET                                         	QUIMIDROGA         				
ARKEMA FRANCE                                               	QUIMIDROGA         				
CARLO ERBA Reagents - Peypin                                	QUIMIDROGA         				
BONTOUX                                            	QUIMIDROGA FRANCE                       				
Zach system                                         	Rainoldi                                   				
LABODIFF                                                    	ROTH SOCHIEL                                          				
LABODIFF                                                    	SCB SOYONS                                             				
CURIUM PET FRANCE                       	SIGMA ALDRICH CHIMIE         				
CY CERGY PARIS UNIVERSITE                 	SIGMA ALDRICH CHIMIE         				
DELPHARM REIMS                             	SIGMA ALDRICH CHIMIE         				
ECOLE NORMALE SUPERIEURE                  	SIGMA ALDRICH CHIMIE         				
ECPM UMR CNRS 7042 LIMA                	SIGMA ALDRICH CHIMIE         				
FACULTE  DE  PHARMACIE MARSEILLE              	SIGMA ALDRICH CHIMIE         				
FACULTE DES SCIENCES LENS                       	SIGMA ALDRICH CHIMIE         				
FINORGA NOVASEP SYNTHESIS                    	SIGMA ALDRICH CHIMIE         				
FINORGA SA                                  	SIGMA ALDRICH CHIMIE         				
INSERM U1285 CNRS UMR 8576                        	SIGMA ALDRICH CHIMIE         				
IPSEN PHARMA BIOTECH                          	SIGMA ALDRICH CHIMIE         				
LABORATOIRE SOPHARTEX SAS                  	SIGMA ALDRICH CHIMIE         				
NATUREX                                  	SIGMA ALDRICH CHIMIE         				
RHODIA OPERATIONS                         	SIGMA ALDRICH CHIMIE         				
SANOFI CHIMIE ARAMON                  	SIGMA ALDRICH CHIMIE         				
SANOFI CHIMIE VERTOLAYE      	SIGMA ALDRICH CHIMIE         				
SEQENS VLG CHEM                                     	SIGMA ALDRICH CHIMIE         				
TECHNOLOGIE SERVIER           	SIGMA ALDRICH CHIMIE         				
TRIRX SEGRE SAS                           	SIGMA ALDRICH CHIMIE         				
UFR DES SCIENCES UNIVERSITE DE PICARDIE        	SIGMA ALDRICH CHIMIE         				
UNITHER LIQUID MANUFACTURING                 	SIGMA ALDRICH CHIMIE         				
UNIVERSITE DE BRETAGNE OCCIDENTALE  	SIGMA ALDRICH CHIMIE         				
UNIVERSITE DE NICE UFR SCIENCES          	SIGMA ALDRICH CHIMIE         				
UPMC BIOPHYTIS	SIGMA ALDRICH CHIMIE         				
Ecole Nationale Supérieure de Chimie (ENSCM) - Montpellier  	SIGMA ALDRICH CHIMIE         				
M2i Salin                                                   	SIGMA ALDRICH CHIMIE         				
SANOFI ARAMON                                               	SIGMA ALDRICH CHIMIE         				
SIGMA ALDRICH CHIMIE                                        	Sigma Aldrich International GmbH c/o Sigma-Aldrich Chemie GmbH    				
LABORATOIRES HUMEAU                                 	SIGMA ALDRICH CHIMIE         				
SIGMA ALDRICH CHIMIE                                        	Sigma-Aldrich International GmbH                                  				
SYNTHEXIM CALAIRE                                  	STEINER                      				
DRT - Les Dérivés Résiniques & Terpéniques          	UNIPEX SOLUTIONS France      				
DRT - Les Dérivés Résiniques & Terpéniques          	UNIPEX SOLUTIONS France                             				
CARLO ERBA REAGENTS                               	Univar Solutions             				
GIVAUDAN LAVIROTTE                           	Univar Solutions             				
Grassoise De Parfum                                  	Univar Solutions             				
Société Béarnaise de Synthèse SAS (SBS)           	Univar Solutions             				
Synarome                                    	Univar Solutions             				
VALDEPHARM	Univar Solutions             				
GIVAUDAN LAVIROTTE                                                    	Univar Solutions                                    				
SBS                                                 	Univar Solutions                                    				
SOCIETE GRASSOISE DE PARFUMERIE                     	Univar Solutions                                    				
SYNAROME SASU                                       	Univar Solutions                                    				
CARLO ERBA Reagents - Peypin                                	Univar Solutions                                    				
DELPHARM LILLE                                              	VWR INTERNATIONAL              				
EVONIK REXIM SAS                                            	VWR INTERNATIONAL              				
Gifrer                                                      	VWR INTERNATIONAL              				
L’OREAL                                                     	VWR INTERNATIONAL              				
Norgine PHARMA                                              	VWR INTERNATIONAL              				
ROOWIN                                                      	VWR INTERNATIONAL              				
Roquette Frères                                             	VWR INTERNATIONAL              				
Zach system                                                 	VWR INTERNATIONAL              				
