,node
3,24-HOUR MAN/EMMANUEL
4,3-D MAN/CHARLES CHAN
5,4-D MAN/MERCURIO
6,8-BALL/
534,"ABBOTT, JACK"
535,ABCISSA
536,ABEL
540,ABOMINATION/EMIL BLO
541,ABOMINATION | MUTANT
542,ABOMINATRIX
543,ABRAXAS
544,ABSALOM
545,ABSORBING MAN/CARL C
546,ABSORBING MAN | MUTA
547,ACBA
549,"ACHEBE, REVEREND DOC"
550,ACHILLES
551,ACHILLES II/HELMUT
552,ACROBAT/CARL ZANTE
553,"ADAM 3,031"
554,"ADAMS, CINDY"
555,"ADAMS, CONGRESSMAN H"
556,"ADAMS, GEORGE"
557,"ADAMS, MARTHA"
558,"ADAMS, NICOLE NIKKI"
559,"ADAMSON, JASON"
560,"ADAMSON, REBECCA"
561,ADAM X
562,ADMIRAL PROTOCOL/
563,ADORA CLONE
564,ADORA
565,ADRIA
566,ADVA
568,ADVENT/KYLE GROBE
569,ADVERSARY
570,AEGIS/TREY ROLLINS
571,AENTAROS
720,AFTERLIFE
721,AGAMEMNON
722,AGAMEMNON II/ANDREI
723,AGAMEMNON III/
724,AGAMOTTO
725,"AGARN, CAPT."
726,AGED GENGHIS
727,"AGEE, DR. AUBREY"
728,"AGEE, REBECCA"
729,AGENT 18/JACK TRUMAN
730,AGENT AXIS/
731,AGENT-X/
732,AGGAMON
733,AGINAR
734,AGON
735,AGONY/
736,"AGUIRRE, ISOBEL"
737,AHAB/RORY CAMPBELL
738,A
739,AHQLAU
740,AHURA
745,AI-CHIA
768,AINET
769,AIRBORNE/
770,AIREO/AEOLUS [INHUMA
771,AIR WALKER/ARLO SAMU
772,AIR-WALKER/GABRIEL L
773,AJAK/TECUMOTZIN [ETE
774,AJAX
775,AJAX II
776,AJES'HA
777,AKAFE
778,AKULIA
779,"AKUTAGAWA, OSAMU"
780,ALANYA
781,ALBERIK
782,ALBERT
783,ALBINO/DR. AUGUSTA S
784,"ALBUQUERQUE, JEREMIA"
785,ALCHEMY/THOMAS JONES
786,"ALDEN, PROF. MEREDIT"
787,"ALEGRIA, RICHIE"
788,"ALEXANDER, CALEB"
789,"ALEXANDER, CARRIE"
792,ALFY
793,ALIOTH
794,ALIST
795,ALISTRO
796,AL-KHALAD
797,"ALLEN, TERRY"
813,"ALOUETTE, GENARD"
814,ALPHA
815,"ALRAUNE, MARLENE"
816,"ALVAREZ, CARLY"
817,"ALVAREZ, FELIX"
818,"ALVAREZ, PAUL"
820,AMAZO-MAXI-WOMAN/
821,AMAZON
825,AMENHOTEP
826,AMERICAN EAGLE III/J
827,AMERICAN EAGLE II/JA
828,AMERICAN SAMURAI/
829,AMERICOP/
830,AMIKO
831,AMINEDI
832,AMPERE/
833,AMPHARON
834,AMPHIBIAN/KINGLEY RI
835,AMPHIBIUS
836,ANACONDA/BLANCHE SIT
837,ANAIS
838,ANAK
839,ANALYZER
840,"ANAMI, HIROSHI"
841,ANANASTASIA/ANNA
842,ANARCHIST/TIKE ALICA
843,ANCESTOR/
844,ANCIENT ONE/BARON MO
845,ANCIENT ONE
846,"ANDERS, JOSHUA RICHI"
847,"ANDERSON, BAXTER"
848,"ANDERSON, CHARLES"
849,"ANDERSON, CHET"
850,"ANDERSON, CHIEF MAGI"
851,"ANDERSON, GINA"
852,"ANDERSON, MARJORIE"
853,"ANDERSON, NICKY"
854,"ANDERSSEN, TANYA"
855,"ANDREWS, DARYL TROOP"
856,ANDROMEDA/ANDROMEDA
857,ANDROS
858,ANDWELLA
859,ANELLE
860,ANGAR THE SCREAMER/D
861,ANGEL 2013
862,ANGEL DOPPELGANGER
863,ANGEL III/HALLOWAY
864,ANGEL II/THOMAS HALL
865,ANGEL IV
866,"ANGELOPOULOS, ANGEL"
867,ANGEL/WARREN KENNETH
868,ANGKOR
869,ANGLER
870,"ANGSTROM, EARL"
871,ANIELLE
872,ANIMATOR/DR. FREDRIC
873,ANIMATOR II/
874,ANIMUS
875,ANNALEE
876,ANNIHILUS
877,ANOMALY
878,ANOMALY III
879,"ANON, LORD"
880,ANSWER
881,ANSWER II/DAVID FERR
882,ANTEUS
883,ANTHROMORPHO
884,ANTIBODY
885,ANTI-PHOENIX
886,ANTIQUARY/
887,ANTI-VISION
888,ANT-MAN/DR. HENRY J.
889,ANT-MAN II/SCOTT HAR
890,"ANTOINETTE, MARIE"
891,ANTORO
892,ANTRO
893,"ANUBAR, ANWAR"
894,ANUBIA
895,ANVIL/JOHNNY ANVIL
897,APE/
898,APE MAN/GORDON MONK
899,APE MAN II/ROY MCVEY
900,APE-X/XINA
901,APOCALYPSE/EN SABAH
902,APOCALYPSE | MUTANT
903,APOCRYPHUS
904,APOLLO [GREEK GOD]
905,APOSTATE
906,APPALLA
907,"APPLEBAUM, PHANTASY"
908,AQUARIAN/WUNDARR
909,AQUARIUS/DARREN BENT
910,AQUARIUS II/
911,AQUARIUS III/
914,ARABIAN KNIGHT/ABDUL
915,ARACHNE
916,ARAGORN
917,ARAKI II
918,ARAKI [SHI'AR]
919,"ARBOGAST, BAMBI"
920,ARCADE/
921,ARCADIUS
922,ARCANNA/ARCANNA JONE
923,ARCHAEOPTERYX/TONAJA
925,ARCHER/JUDE BLACK
926,"ARCHER, ULYSSES SAMS"
927,ARCLIGHT/PHILLIPA SO
928,ARCTURUS
929,ARES [GREEK GOD]
930,AREX
931,ARGOS
932,"ARGOSY, HERVE"
933,ARIA
934,ARIANE
935,ARIDES
936,ARIEL II
937,ARIES II/GROVER RAYM
938,ARIES III/
939,ARIES/MARCUS LASSITE
940,ARISHEM [CELESTIAL]
941,ARIZE
942,"ARKANIAN, GLIB"
943,ARKO
944,ARKON
945,"ARLINGTON, DR. MARCU"
946,ARLISSE
947,ARMADA
948,ARMADA II/
949,ARMADILLO/ANTONIO RO
950,ARMAGEDDON
951,ARMAGEDDON MAN
952,ARMAND
953,ARMAROS
954,ARMAZIEL
955,"ARMBRUSTER, COLONEL"
956,ARMS MERCHANT/ANDREA
957,"ARMSTRONG, ?"
958,"ARMSTRONG, MYRA"
959,ARNSTROM
960,ARON [WATCHER]
961,ARRANGER/
962,ARROW
963,ARSENAL
964,ARSENAL II
965,ARSENIC
966,ARTEMIS
967,ARVAK
968,ARYAN
969,ASANO
970,"ASBERY, SHAMARI"
971,ASBESTOS LADY
972,"ASH, BRANDY"
973,ASHEMA [CELESTIAL]
975,"ASHER, CARL"
976,"ASHER, DONNA"
977,"ASHER, MICHAEL"
978,ASHUR
979,ASKANI
1497,ASMODEUS
1526,ASP II/CLEO
1563,ASSAULT/
1568,ASTARTE
1569,"ASTER, LUCIAN"
1576,ASTRA
1577,ASTRA II
1578,ASTROLOGER/
1579,ASTRONOMER
1580,"ASTROVIK, ARNOLD"
1581,"ASTROVIK, NORMA"
1582,ASYLUM/
1583,ASYLUM II/HENRIQUE M
1627,ATALANTA
1628,ATALON
1633,ATHENA [GREEK GOD]
1634,"ATKINSON, MAJ. EDMON"
1635,ATLAS
1636,ATLAS III
1637,ATOM SMASHER/
1638,ATOM-SMASHER/
1639,ATOM SMASHER II/
1640,"ATOR, GENERAL"
1641,ATTRACTIVE LAD/AUNDR
1642,ATTUMA
1645,AUGUST PERSONAGE IN
1646,AUNTIE FREEZE/
1653,AURA/ANN HERD
1654,AURIC/
1655,AURORA DOPPELGANGER
1656,AURORA/JEANNE-MARIE
1657,AURORA | MUTANT X-VE
1658,"AUSTIN, GEN."
1659,"AUSTIN, SUSAN"
1660,"AUSTIN, TERRY"
1661,"AUTHIER, POLICE CHIE"
1662,"AUTHIER, TRACY TRACE"
1663,AUTHORITY/
1664,AUTOLYCUS
1665,AVALANCHE/DOMINIC PE
1666,AVANDALIA
1667,AVATAR
1668,AVATAR II/PRINCESS A
1681,AVIA
1682,AVIOS
1683,AVIUS
1684,"AVRIL, SALLY"
1685,"AVRIL, YVETTE"
1754,AWESOME ANDROID
1755,AXE/
1756,AXIS/
1757,"AYALA, AWILDA"
1758,"AYALA, FILIPPO"
1759,"AYALA, MRS."
1760,"AYALA, NESTOR"
1761,AYESHA
1762,A'YIN
1763,AZAZEL
1764,AZAZEL II
1765,AZIR
1766,AZOPARDI
1767,AZOR
1768,AZRAEL
1769,AZURE
1770,BAAL
